customer_id,customer_revenue,total_revenue,customer_rank,revenue_share,cumulative_share
18102,608821.65,17743429.178,1,0.034312513319289785,0.034312513319289785
14646,528602.52,17743429.178,2,0.029791452074856645,0.064103965394146437
14156,313946.37000000005,17743429.178,3,0.017693669405757305,0.081797634799903735
14911,295972.62999999989,17743429.178,4,0.016680689343127372,0.0984783241430311
17450,246973.08999999994,17743429.178,5,0.013919129584388389,0.11239745372741949
13694,196482.81,17743429.178,6,0.011073553371724682,0.12347100709914417
17511,175603.55,17743429.178,7,0.009896821422644168,0.13336782852178836
16446,168472.5,17743429.178,8,0.0094949233493652023,0.14286275187115355
16684,147142.77,17743429.178,9,0.0082928034104276568,0.1511555552815812
12415,144458.37,17743429.178,10,0.00814151360206703,0.15929706888364822
15061,137818.52,17743429.178,11,0.0077672990162961607,0.16706436789994439
16029,122209.14,17743429.178,12,0.00688757166238906,0.17395193956233346
17949,118628.08000000002,17743429.178,13,0.00668574709037002,0.18063768665270347
15311,116771.16,17743429.178,14,0.0065810931375533685,0.18721877979025683
13089,116737.85999999999,17743429.178,15,0.0065792163864661938,0.19379799617672303
12931,92347.34,17743429.178,16,0.0052045937159938089,0.19900258989271685
14298,91194.490000000049,17743429.178,17,0.0051396203679202951,0.20414221026063714
15769,88704.32,17743429.178,18,0.0049992771470570132,0.20914148740769414
12346,77556.46,17743429.178,19,0.0043709961147849552,0.21351248352247912
13798,75836.870000000024,17743429.178,20,0.0042740819285389227,0.21778656545101804
15838,74163.0,17743429.178,21,0.0041797444708125747,0.22196630992183061
17841,70884.070000000036,17743429.178,22,0.00399494761068446,0.22596125753251506
16754,67502.47,17743429.178,23,0.0038043643831653477,0.22976562191568042
14096,65164.790000000074,17743429.178,24,0.003672615329667932,0.23343823724534835
14088,64036.799999999996,17743429.178,25,0.003609043063637267,0.23704728030898561
16422,63651.470000000008,17743429.178,26,0.0035873262919729849,0.24063460660095859
13081,59205.15,17743429.178,27,0.0033367366254888433,0.24397134322644745
16013,57446.44,17743429.178,28,0.003237617679407067,0.24720896090585451
14680,57412.77,17743429.178,29,0.0032357200755300359,0.25044468098138456
17389,57224.679999999993,17743429.178,30,0.0032251195316265373,0.25366980051301108
17850,56600.080000000038,17743429.178,31,0.0031899177679914452,0.25685971828100251
12748,56599.389999999948,17743429.178,32,0.0031898788803563,0.26004959716135884
13777,56478.420000000006,17743429.178,33,0.003183061145250736,0.26323265830660958
13093,54943.649999999987,17743429.178,34,0.0030965632093329725,0.26632922151594252
13408,51733.462,17743429.178,35,0.0029156405721248121,0.26924486208806736
17404,47781.12,17743429.178,36,0.0026928909581493752,0.2719377530462167
13881,45179.100000000006,17743429.178,37,0.0025462439952710705,0.27448399704148779
15749,44534.3,17743429.178,38,0.00250990378202754,0.27699390082351533
16705,43515.051,17743429.178,39,0.0024524600382182112,0.27944636086173352
14031,40999.17,17743429.178,40,0.0023106677738954028,0.28175702863562896
15039,40031.429999999993,17743429.178,41,0.0022561270202286934,0.28401315565585766
17381,40002.37,17743429.178,42,0.0022544892308415088,0.28626764488669915
12471,39963.79,17743429.178,43,0.0022523149048071798,0.28851995979150635
15098,39916.5,17743429.178,44,0.0022496496928278271,0.29076960948433417
16210,38489.51,17743429.178,45,0.0021692261182366585,0.29293883560257084
17675,38259.6,17743429.178,46,0.0021562686454903494,0.29509510424806118
17677,36692.909999999996,17743429.178,47,0.0020679717337556921,0.29716307598181685
12921,35921.039999999994,17743429.178,48,0.0020244699961684031,0.29918754597798525
13767,35540.530000000006,17743429.178,49,0.0020030248743611837,0.30119057085234646
12678,34281.18,17743429.178,50,0.0019320493043422004,0.30312262015668867
15856,34220.34,17743429.178,51,0.0019286204293829316,0.30505124058607158
13902,34095.259999999995,17743429.178,52,0.0019215710592332715,0.30697281164530482
16779,33268.240000000013,17743429.178,53,0.0018749611287793883,0.30884777277408426
14258,32051.34,17743429.178,54,0.001806377993704865,0.31065415076778913
17428,31819.76,17743429.178,55,0.0017933264016097396,0.31244747716939886
12709,31093.339999999997,17743429.178,56,0.001752386175641431,0.3141998633450403
12681,30868.28,17743429.178,57,0.0017397020435189294,0.31593956538855922
14606,30861.060000000023,17743429.178,58,0.0017392951323222524,0.31767886052088146
17940,30393.19,17743429.178,59,0.0017129264977530038,0.31939178701863447
